HBA1C	FPG	PBG	FINS	HOMA.B	HOMA.IR	TG	TC	LDLC	HDLC	FFA	ALT	AST	TBIL	BUN	EGFR	SCR	UCR	UMA	UMACRR	CKMB	HSCRP	HB	PLT	HCT	RBC	WBC	BMI	WACC	WEIGHT	DBP	SBP	Age	Sex	Dose	MP0005	MP0006	MP0009	MP0012	MP0013	MP0015	MP0017	MP0018	MP0019	MP0021	MP0022	MP0023	MP0024	MP0025	MP0027	MP0030	MP0033	MP0034	MP0035	MP0038	MP0041	MP0042	MP0044	MP0045	MP0046	MP0047	MP0050	MP0051	MP0052	MP0053	MP0054	MP0058	MP0062	MP0065	MP0066	MP0073	MP0074	MP0076	MP0077	MP0078	MP0080	MP0082	MP0084	MP0085	MP0086	MP0096	MP0098	MP0099	MP0100	MP0101	MP0105	MP0106	MP0112	MP0113	MP0115	MP0116	MP0117	MP0118	MP0122	MP0124	MP0126	MP0127	MP0128	MP0132	MP0134	MP0135	MP0140	MP0141	MP0142	MP0150	MP0151	MP0154	MP0156	MP0159	MP0164	MP0174	MP0175	MP0193	MP0203	ML006	ML017	ML018	ML010	ML011	ML012	ML013	ML014	ML015	ML016	ML019	MS003	MS018	MS020	MS022	MS025	MS030	MS001	MS002	MS004	MS005	MS006	MS007	MS008	MS009	MS010	MS011	MS013	MS014	MS015	MS016	MS017	MS019	MS021	MS023	MS024	MS026	MS027	MS028	MS029	exRNA000003	exRNA000004	exRNA000005	exRNA000008	exRNA000009	exRNA000015	exRNA000016	exRNA000017	exRNA000027	exRNA000028	exRNA000029	exRNA000035	exRNA000036	exRNA000040	exRNA000042	exRNA000043	exRNA000044	exRNA000047	exRNA000050	exRNA000053	exRNA000056	exRNA000058	exRNA000059	exRNA000060	exRNA000061	exRNA000066	exRNA000067	exRNA000077	exRNA000084	exRNA000089	exRNA000091	exRNA000097	exRNA000098	exRNA000110	exRNA000130	exRNA000139	exRNA000145	exRNA000161	exRNA000164	exRNA000165	exRNA000172	exRNA000173	exRNA000183	exRNA000211	exRNA000226	exRNA000250	exRNA000251	exRNA000290	exRNA000311	exRNA000312	exRNA000317	exRNA000326	exRNA000344	exRNA000348	exRNA000394	exRNA000408	exRNA000561	exRNA000565	exRNA000673	exRNA000760	exRNA000822	exRNA000841
0.029269272	0.0	-1.4144561	0.0	0.61068296	0.12156371	0.0	0.0	0.04320128	-0.015785184	0.023927676	0.045504447	0.0	0.0	0.0	0.042801645	0.086145595	0.0	-0.012103937	0.0	1.0179744	0.0	0.0	-0.020438138	0.03809698	0.504194	0.15538017	0.0	0.0	0.0	0.07351352	0.0019790875	0.31971675	0.0	-0.038025662	0.03646919	0.0	0.19578142	0.044768047	0.03762758	0.0	-0.027787495	-0.11156301	0.07106197	-0.012371896	0.0073202024	0.044491	0.037586026	-0.05692861	0.03608846	0.0054058074	0.27912202	0.0	-0.08656492	0.0	0.06124276	0.0	-0.045269273	0.00066300575	0.13750187	0.0	-0.22043714	0.0	-0.09573639	-0.06854978	0.0058378205	-0.0023090309	-0.027867585	0.05623599	0.051950715	0.06066216	0.0	0.0	0.033418566	0.08311631	0.24962743	-0.04072027	0.03957305	0.30056188	0.04853962	0.0	-0.05482689	-0.040589176	0.0	0.0	0.0	0.0	0.0	0.41630673	0.033578545	0.007783943	0.0	-0.07407148	-0.04010295	-0.23874152	0.09857503	0.09331795	-0.32521167	0.032391448	0.01004174	0.032008503	0.049782608	0.020122325	0.03276716	0.0	-0.22855735	0.06019382	-0.23623055	0.0	-0.034960356	0.63924235	0.0	0.01923044	0.10844267	0.011031052	0.022120453	0.0	0.04991562	0.0	0.0	0.0	0.0	-0.082040116	0.0	0.0	-0.017200673	0.0	0.0	0.0	0.054275114	0.0	0.0	0.0	-0.050739683	0.0	0.56135994	0.0	0.01463246	0.064920135	-0.013974413	0.06740897	0.0	0.05924563	0.015410581	0.052234635	0.038549732	0.0	0.0	0.0	0.010660396	0.070428036	0.0	0.028100565	0.0	-0.060964484	-0.008790886	0.2155483	0.019056099	-0.004413674	0.007916154	0.0	0.23490748	0.0064183017	0.0	-0.017181985	0.020161761	0.020386811	-0.06741968	-0.1651957	0.0	0.0	0.035634387	-0.030039333	0.049833987	0.0	0.03873633	0.0	0.0	0.0	0.0	-0.056061514	-0.009349313	0.0	0.0	0.0	0.0	0.06709809	0.02833953	0.0	0.0	-0.31526038	0.0	-0.01791039	0.16930342	-0.02831547	0.011646841	-0.0020959377	0.1373128	0.23257521	0.0	0.065739214	0.03072558	0.0	-0.01837709	0.0	0.01726268	0.0	0.0	0.0	-0.04398204	0.0	0.0	0.46158054	0.0	0.0	0.015883481
0.10682013	0.0	0.71345675	0.0	1.0746794	-0.009964237	0.0	0.0	-0.033813804	-0.039662596	0.019822696	0.045504447	0.0	0.0	0.0	-0.012687463	0.0492118	0.0	-0.012103937	0.0	-0.113744974	0.0	0.0	-0.020438138	0.0067313877	-0.45098165	-0.07196513	0.0	0.0	0.0	0.03899116	0.00172076	0.13948756	0.0	0.03626194	0.01097404	0.0	0.23451357	-0.036510326	0.007935968	0.0	-0.021187421	-0.09701979	0.027086427	-0.012371896	-0.00798401	-0.06972323	-0.0060190484	-0.035289362	-0.018790072	0.023867633	0.17537618	0.0	0.16016711	0.0	-0.0050295126	0.0	-0.016378056	-0.024974622	-0.013178819	0.0	0.16994382	0.0	-0.11458918	0.032354526	0.044170283	0.032213144	-0.0072822417	0.024308551	0.051950715	0.08180368	0.0	0.0	0.033418566	-0.008356154	0.24962743	-0.04072027	0.03675254	0.11275607	0.04853962	0.0	-0.064404435	0.047884993	0.0	0.0	0.0	0.0	0.0	0.05205109	-0.014129664	0.007783943	0.0	0.010148279	-0.016502455	-0.198466	0.02270223	0.06085697	0.4402923	0.03329378	-0.04195344	0.032008503	0.049782608	-0.033175744	0.09184825	0.0	0.3119498	0.06019382	0.04627555	0.0	-0.029280188	0.15894353	0.0	0.051583316	-0.044551916	0.06546183	-0.021507662	0.0	-0.026090182	0.0	0.0	0.0	0.0	-0.082040116	0.0	0.0	-0.031512443	0.0	0.0	0.0	0.024545653	0.0	0.0	0.0	0.029649215	0.0	0.9419297	0.0	0.04125953	0.00148331	-0.02153434	-0.18331131	0.0	-0.02035555	0.015410581	0.01838231	0.038549732	0.0	0.0	0.0	-0.031124093	0.12254865	0.0	0.028100565	0.0	0.024774475	0.017321438	0.19766484	-0.007460286	0.013303912	-0.022137852	0.0	-0.44542304	-0.071351334	0.0	0.049001377	-0.1266005	-0.02763734	0.15197448	0.1005436	0.0	0.0	0.035634387	0.032822974	-0.013478573	0.0	0.03873633	0.0	0.0	0.0	0.0	0.23070845	-0.0052386327	0.0	0.0	0.0	0.0	-0.03314469	-0.027131218	0.0	0.0	0.52887195	0.0	0.025303803	-0.3035414	0.22320913	0.038172167	0.029424015	-0.4185102	0.21329674	0.0	-0.03300582	-0.036289535	0.0	0.047570642	0.0	0.01726268	0.0	0.0	0.0	-0.04398204	0.0	0.0	0.32146493	0.0	0.0	0.031934835
0.11064337	0.0	-0.8778428	0.0	0.5992888	0.49163452	0.0	0.0	-0.008304544	-0.039662596	-0.121512495	-0.031171322	0.0	0.0	0.0	-0.006937906	0.030465445	0.0	0.03679521	0.0	-0.1777055	0.0	0.0	0.01811415	0.004199465	-0.37482527	0.08466582	0.0	0.0	0.0	0.088959426	0.0019790875	0.019997101	0.0	0.03626194	0.012291893	0.0	-0.24237357	-0.036510326	0.007935968	0.0	-0.070178166	0.09195697	0.07106197	-0.03286002	0.0073202024	0.023447668	0.024419682	-0.14448255	0.013758839	0.022603178	-0.31691504	0.0	0.032005824	0.0	-0.059103366	0.0	-0.05863563	-0.029998828	-0.13588509	0.0	0.13874634	0.0	-0.08283843	0.22181578	0.0058378205	0.067395955	0.14033447	0.05623599	0.051950715	0.15745229	0.0	0.0	-0.13293472	0.024018072	0.08853426	0.04014992	0.024400149	-0.18755785	0.008999703	0.0	0.02144508	0.18369621	0.0	0.0	0.0	0.0	0.0	-0.48563653	-0.014129664	0.0043029753	0.0	-0.19724731	0.09145889	-0.11385895	-0.06412536	0.036045823	0.15866631	0.045612946	-0.005502346	0.01236595	-0.08030851	-0.019293144	0.01204452	0.0	-0.6592603	-0.039488453	-0.08342358	0.0	-0.04780356	-0.4803233	0.0	0.01986547	0.19722122	-0.05389145	-0.03603752	0.0	0.008620121	0.0	0.0	0.0	0.0	0.07101388	0.0	0.0	-0.096431	0.0	0.0	0.0	-0.054831497	0.0	0.0	0.0	0.029186536	0.0	-1.1239122	0.0	0.01463246	0.05074628	-0.034089103	0.04087688	0.0	-0.08008407	-0.026766703	-0.036549717	-0.047309615	0.0	0.0	0.0	0.010660396	-0.068708144	0.0	-0.034597248	0.0	0.024774475	0.009098725	0.092742026	-0.034240883	0.09098832	-0.009383105	0.0	-0.12516305	-0.016141254	0.0	0.030760713	-0.028877236	-0.06247516	0.14038135	0.11644721	0.0	0.0	0.013000708	0.039020885	-0.052252088	0.0	0.03873633	0.0	0.0	0.0	0.0	0.00040701032	0.20084223	0.0	0.0	0.0	0.0	0.056171115	0.04906217	0.0	0.0	-0.33437073	0.0	0.065658316	0.1729646	-0.048046015	0.038172167	0.036544725	-0.17388174	0.12569167	0.0	0.065739214	0.13397212	0.0	0.047747582	0.0	0.03268305	0.0	0.0	0.0	0.089576125	0.0	0.0	0.32146493	0.0	0.0	0.031934835
-0.0018975241	0.0	0.6737959	0.0	0.93666124	-0.009964237	0.0	0.0	0.011643581	-0.039662596	-0.056298897	-0.084573746	0.0	0.0	0.0	-0.012687463	0.06618467	0.0	-0.012103937	0.0	0.41987774	0.0	0.0	-0.020438138	-0.13722444	0.09714224	-0.09029309	0.0	0.0	0.0	-0.058822982	-0.041427474	-0.15227452	0.0	0.03626194	-0.01236387	0.0	-0.5610833	-0.036510326	0.03762758	0.0	-0.017235272	0.07375847	0.07106197	0.041396063	0.013156647	0.011152413	0.06540782	-0.05692861	0.013758839	0.012160891	0.119104005	0.0	0.010198532	0.0	-0.041218586	0.0	-0.05863563	-0.024974622	0.07990886	0.0	-0.0745622	0.0	-0.14816219	-0.074875094	-0.0104481345	-0.03958982	-0.0072822417	0.010384094	0.051950715	0.15745229	0.0	0.0	-0.031616334	0.028327389	0.18657969	0.04014992	0.06416097	0.21538788	-0.015652541	0.0	-0.0323199	-0.040589176	0.0	0.0	0.0	0.0	0.0	0.034807503	-0.0045999214	0.011165332	0.0	0.050120793	0.05895137	0.17707077	0.0031728074	0.09331795	0.42000157	0.032565434	-0.005502346	0.032008503	0.049782608	-0.052832447	0.07146778	0.0	0.49071074	-0.021147642	0.009455223	0.0	0.07599176	0.31105003	0.0	0.059986487	-0.0882747	0.014930283	0.09553328	0.0	-0.030715143	0.0	0.0	0.0	0.0	-0.05434267	0.0	0.0	-0.021496128	0.0	0.0	0.0	0.018653171	0.0	0.0	0.0	0.0038217194	0.0	0.91151744	0.0	0.01463246	0.004542399	-0.02153434	-0.36159694	0.0	0.1364535	-0.10230149	-0.103858605	0.038549732	0.0	0.0	0.0	-0.031124093	0.0031178594	0.0	0.028100565	0.0	-0.113642864	0.056007966	0.27724856	0.019056099	-0.004413674	0.004000077	0.0	0.3554056	0.012977291	0.0	-0.058240753	-0.003949672	0.009018581	-0.073854126	-0.13416353	0.0	0.0	0.035634387	-0.025378136	0.049833987	0.0	-0.039725833	0.0	0.0	0.0	0.0	-0.12346724	-0.0052386327	0.0	0.0	0.0	0.0	0.116844825	0.02833953	0.0	0.0	-0.2901067	0.0	-0.01791039	0.16082826	-0.08969453	0.011646841	-0.026114129	0.115080416	0.23257521	0.0	-0.09553507	-0.0012611579	0.0	0.022124253	0.0	-0.0935478	0.0	0.0	0.0	-0.04398204	0.0	0.0	0.4893269	0.0	0.0	-0.06400111
-0.06286435	0.0	-0.37369847	0.0	0.73768127	-0.009964237	0.0	0.0	-0.17750113	0.04564417	-0.030797288	0.045504447	0.0	0.0	0.0	-0.012687463	0.058405258	0.0	-0.012103937	0.0	0.5080062	0.0	0.0	-0.020438138	-0.13722444	-0.38822287	-0.1501933	0.0	0.0	0.0	-0.058822982	0.0077614505	-0.17167994	0.0	0.03626194	0.03646919	0.0	0.265758	-0.036510326	-0.037891574	0.0	-0.017235272	0.082232445	0.07106197	0.015585741	0.024005115	0.044491	0.06540782	-0.05692861	0.01409256	0.0025781067	0.32492265	0.0	-0.017217837	0.0	0.041461073	0.0	-0.05446273	-0.024974622	0.09119388	0.0	-0.27449545	0.0	-0.12612247	-0.07729476	-0.0057269046	-0.005968039	-0.027867585	0.05623599	-0.04075786	0.15745229	0.0	0.0	-0.031616334	-0.12585203	0.24962743	0.04014992	0.06416097	-0.042180706	-0.015652541	0.0	-0.064404435	-0.06521641	0.0	0.0	0.0	0.0	0.0	0.04784944	-0.0045999214	0.007783943	0.0	0.050120793	0.09145889	-0.13790256	-0.06412536	0.07810986	-0.52165955	-0.17460422	0.01004174	0.032008503	-0.08030851	0.0062397234	0.024039079	0.0	0.37017483	0.032236192	0.04627555	0.0	0.07599176	0.24146044	0.0	0.059986487	-0.059235338	0.014930283	0.06456725	0.0	0.028832149	0.0	0.0	0.0	0.0	-0.05434267	0.0	0.0	-0.023843445	0.0	0.0	0.0	0.018653171	0.0	0.0	0.0	0.0038217194	0.0	0.89040196	0.0	0.01463246	0.033288714	-0.02153434	0.06740897	0.0	0.10088222	-0.026766703	0.01838231	0.038549732	0.0	0.0	0.0	0.010660396	-0.106512524	0.0	-0.008054692	0.0	-0.113642864	-0.008790886	0.14105663	0.019056099	-0.004413674	0.007916154	0.0	0.36609718	0.0064183017	0.0	-0.074103236	-0.003949672	0.009018581	-0.073854126	-0.12369071	0.0	0.0	0.035634387	-0.05076897	-0.028816568	0.0	0.03873633	0.0	0.0	0.0	0.0	-0.13803628	-0.009349313	0.0	0.0	0.0	0.0	0.116844825	0.02833953	0.0	0.0	-0.24695796	0.0	-0.01791039	0.13925603	-0.02831547	0.011646841	0.021389972	0.1373128	0.19057596	0.0	0.065739214	-0.0012611579	0.0	0.022124253	0.0	-0.024904754	0.0	0.0	0.0	-0.04398204	0.0	0.0	0.4893269	0.0	0.0	-0.06400111
-0.049101025	0.0	-0.47493565	0.0	0.90611696	-0.040297903	0.0	0.0	0.036790725	-0.039662596	-0.04427966	-0.031171322	0.0	0.0	0.0	-0.012687463	-0.10136831	0.0	0.03679521	0.0	0.39937595	0.0	0.0	0.01811415	0.013393102	-0.016523063	-0.115545705	0.0	0.0	0.0	0.039676517	0.0077614505	-0.20989352	0.0	-0.038025662	-0.0061786547	0.0	-0.31931943	-0.036510326	0.013876008	0.0	-0.041747224	0.04601685	0.07106197	-0.03286002	0.024005115	-0.011128782	-0.10921011	0.38853857	0.03608846	0.049970295	0.3154326	0.0	-0.018399836	0.0	-0.0021012835	0.0	-0.049920954	0.10720162	0.10949103	0.0	-0.17149663	0.0	0.1467881	0.016898341	-0.0057269046	-0.03958982	0.14033447	0.057959568	0.022125505	-0.02247364	0.0	0.0	-0.031616334	-0.026597504	-0.10670641	-0.04072027	0.021149512	0.15090857	0.008999703	0.0	0.016522098	0.044323456	0.0	0.0	0.0	0.0	0.0	0.48656523	-0.06795719	0.011165332	0.0	0.050753742	-0.12492149	0.29291388	-0.09928033	0.070290774	-0.32027945	0.062835686	0.07656473	-0.06469081	0.049782608	0.08225994	0.024039079	0.0	0.25392953	-0.039488453	-0.048267663	0.0	-0.07876432	0.63640535	0.0	0.051583316	0.059738807	-0.021524945	-0.12012277	0.0	0.01792399	0.0	0.0	0.0	0.0	0.0951436	0.0	0.0	-0.020221464	0.0	0.0	0.0	-0.27593076	0.0	0.0	0.0	-0.02880973	0.0	-0.70451033	0.0	0.01463246	0.0823777	-0.08517589	0.06740897	0.0	0.09481691	0.05889877	-0.0388247	-0.047309615	0.0	0.0	0.0	0.024019374	-0.106512524	0.0	-0.06850521	0.0	0.034728482	-0.005099773	-0.0932063	-0.010818124	-0.004413674	-0.01856917	0.0	-0.4600487	0.0064183017	0.0	0.106327996	-0.003949672	0.009018581	0.075280935	0.016093198	0.0	0.0	0.013000708	-0.05076897	0.17892136	0.0	0.03873633	0.0	0.0	0.0	0.0	-0.19443646	-0.009349313	0.0	0.0	0.0	0.0	0.06709809	0.02833953	0.0	0.0	-0.27488005	0.0	-0.01791039	0.18870941	0.007615663	0.038172167	-0.0089101335	0.10977026	-0.087875634	0.0	-0.09553507	0.044885587	0.0	-0.00072589424	0.0	0.03268305	0.0	0.0	0.0	0.089576125	0.0	0.0	0.19547212	0.0	0.0	-0.031832345
0.06639262	0.0	-0.8959267	0.0	-0.31926847	-0.009964237	0.0	0.0	-0.04892603	-0.015785184	0.091915205	0.045504447	0.0	0.0	0.0	-0.012988199	0.076996565	0.0	-0.012103937	0.0	0.56887203	0.0	0.0	0.052143596	0.03809698	0.68978065	0.35534352	0.0	0.0	0.0	0.039676517	-0.015575636	0.0977318	0.0	0.03626194	0.01097404	0.0	0.19208056	-0.036510326	0.03762758	0.0	0.115345985	-0.08616667	0.027086427	-0.012371896	-0.0044422084	-0.06972323	0.05092497	-0.035289362	-0.04928503	-0.110712	0.17051479	0.0	0.051628936	0.0	-0.12898956	0.0	-0.038296692	0.026962126	-0.10445294	0.0	-0.16902417	0.0	-0.09568997	0.13409822	0.044170283	0.08586331	0.14033447	0.035320856	0.051950715	-0.08880528	0.0	0.0	-0.014556801	-0.12585203	-0.361816	-0.04072027	0.031753577	0.20693967	0.008999703	0.0	0.04158195	0.027489351	0.0	0.0	0.0	0.0	0.0	-0.003922181	0.05326589	0.007783943	0.0	0.06571	-0.04010295	-0.17422512	-0.10670237	0.09331795	-0.4317046	0.03324963	0.07656473	-0.14209768	-0.022601426	-0.019293144	-0.008136746	0.0	-0.07240769	0.06019382	0.04627555	0.0	0.07599176	0.07647461	0.0	-0.08058541	0.16235983	0.014930283	0.022120453	0.0	-0.06386663	0.0	0.0	0.0	0.0	-0.10985278	0.0	0.0	-0.04034672	0.0	0.0	0.0	0.054275114	0.0	0.0	0.0	-0.0746738	0.0	0.73603046	0.0	-0.013407193	0.027949315	-0.02153434	-0.20174873	0.0	0.05924563	0.009584937	0.052234635	0.038549732	0.0	0.0	0.0	-0.017205512	0.07630924	0.0	0.028100565	0.0	0.065044455	-0.016735395	0.06957282	-0.007460286	-0.0026304792	0.009437506	0.0	-0.19507459	0.057365246	0.0	-0.017181985	-0.006434626	0.06790686	-0.07647854	0.11644721	0.0	0.0	0.035634387	-0.02513761	-0.013478573	0.0	0.03873633	0.0	0.0	0.0	0.0	-0.0852667	-0.009349313	0.0	0.0	0.0	0.0	0.0057849847	-0.046970308	0.0	0.0	0.564779	0.0	-0.010397885	0.21810941	-0.08229826	0.038172167	-0.015638448	0.16989146	0.20627612	0.0	0.022711832	-0.046585802	0.0	-0.02526715	0.0	0.01726268	0.0	0.0	0.0	-0.04398204	0.0	0.0	0.339028	0.0	0.0	0.015883481
-0.2086334	0.0	-1.4835962	0.0	-0.42648774	-0.009964237	0.0	0.0	0.061241224	-0.015785184	0.091915205	0.045504447	0.0	0.0	0.0	-0.012988199	-0.28601953	0.0	-0.040543415	0.0	-0.21609074	0.0	0.0	-0.021278387	0.0067313877	0.68872213	0.35534352	0.0	0.0	0.0	0.07351352	-0.03937631	-0.25339466	0.0	0.03626194	-0.01236387	0.0	-0.32251406	-0.036510326	0.03762758	0.0	0.08198707	0.040983483	-0.040859975	-0.03286002	-0.0044422084	0.011152413	-0.033420496	-0.0364413	0.03608846	-0.23179133	0.17089792	0.0	-0.008773508	0.0	0.044348076	0.0	-0.04521142	0.067655966	-0.10445294	0.0	-0.06324661	0.0	0.2603714	-0.095943235	-0.04333106	0.21126737	-0.027867585	0.035320856	0.022125505	-0.02247364	0.0	0.0	-0.014556801	-0.070509955	-0.24352255	-0.04072027	-0.0008144593	0.17046149	0.008999703	0.0	-0.049910404	-0.023211304	0.0	0.0	0.0	0.0	0.0	-0.041531466	-0.016827315	0.011165332	0.0	0.04294195	-0.04010295	0.29039446	0.03015095	0.070290774	-0.24995716	0.023881286	0.02628093	-0.14209768	0.014010447	0.04437827	0.03276716	0.0	-0.2690604	-0.039488453	0.009455223	0.0	-0.2976316	0.5806535	0.0	0.01986547	0.039187364	0.014930283	0.07123996	0.0	0.012734927	0.0	0.0	0.0	0.0	-0.10985278	0.0	0.0	0.1436036	0.0	0.0	0.0	-0.0012205318	0.0	0.0	0.0	0.03339695	0.0	0.35578793	0.0	-0.013407193	0.04540688	-0.02153434	0.045606885	0.0	0.09481691	0.022259397	0.01952649	0.038549732	0.0	0.0	0.0	-0.017205512	0.07630924	0.0	0.06470141	0.0	0.059798934	0.005278357	0.2556896	0.019056099	-0.0026304792	0.034646578	0.0	-0.27755806	0.015142899	0.0	-0.050992202	-0.006434626	0.06790686	-0.03616577	-0.1651957	0.0	0.0	0.013000708	-0.06606319	0.0043454766	0.0	-0.039725833	0.0	0.0	0.0	0.0	-0.12161347	0.054183677	0.0	0.0	0.0	0.0	0.06709809	0.02833953	0.0	0.0	0.6860288	0.0	-0.017400634	0.23281752	0.051460527	0.011646841	-0.0089101335	0.14765908	-0.33305693	0.0	0.022711832	-0.062453266	0.0	0.021641888	0.0	-0.049410496	0.0	0.0	0.0	0.05841526	0.0	0.0	-0.1432275	0.0	0.0	0.015883481
-0.20492981	0.0	-1.1093894	0.0	-0.55494595	-0.040297903	0.0	0.0	-0.054235563	0.04564417	0.030117651	0.016771557	0.0	0.0	0.0	0.2393276	0.028089313	0.0	-0.012103937	0.0	0.39631698	0.0	0.0	-0.05883345	-0.13722444	-0.5522915	-0.07915156	0.0	0.0	0.0	-0.022844912	-0.015575636	-0.06690406	0.0	-0.038025662	0.01097404	0.0	0.11364595	0.044768047	0.013876008	0.0	0.06468801	-0.09701979	0.027086427	-0.012371896	-0.0044422084	-0.06972323	0.21569377	-0.09191023	-0.018790072	-0.1179632	0.15546262	0.0	-0.02034992	0.0	-0.022914294	0.0	-0.029103233	-0.10293842	0.09119388	0.0	-0.22980541	0.0	-0.13571681	0.05222016	0.044170283	0.039161887	0.14033447	-0.047795933	-0.04075786	0.06066216	0.0	0.0	-0.014556801	-0.03815239	-0.14852975	-0.04072027	0.021579638	0.1946132	0.008999703	0.0	-0.03096855	0.06628534	0.0	0.0	0.0	0.0	0.0	0.054037385	0.05326589	0.007783943	0.0	0.033729196	-0.060903683	-0.192212	-0.09928033	0.070290774	-0.342117	0.026653837	0.07656473	0.009591555	0.014010447	0.0007655639	-0.008136746	0.0	0.23820117	0.06019382	-0.23623055	0.0	0.03783515	0.34598204	0.0	0.038957566	0.18775827	0.014930283	-0.021507662	0.0	0.012734927	0.0	0.0	0.0	0.0	0.0951436	0.0	0.0	0.28749955	0.0	0.0	0.0	0.0401171	0.0	0.0	0.0	-0.09828468	0.0	-0.8680397	0.0	0.04125953	0.027949315	-0.08517589	0.06740897	0.0	0.014971798	0.009584937	0.01838231	0.038549732	0.0	0.0	0.0	0.024019374	0.07630924	0.0	0.028100565	0.0	-0.15607654	0.005278357	-0.03186046	-0.034240883	-0.004413674	-0.022137852	0.0	-0.41015157	-0.071351334	0.0	0.106327996	0.012585327	-0.05173885	-0.053339645	0.1155725	0.0	0.0	0.035634387	0.0685842	0.057104226	0.0	0.03873633	0.0	0.0	0.0	0.0	-0.024124516	-0.009349313	0.0	0.0	0.0	0.0	-0.004580356	-0.046970308	0.0	0.0	0.26822892	0.0	-0.01791039	-0.29632533	-0.020919189	-0.05550623	0.06387105	-0.014557287	-0.3749084	0.0	0.012148636	-0.037982862	0.0	0.007069298	0.0	0.01726268	0.0	0.0	0.0	-0.04398204	0.0	0.0	0.30906203	0.0	0.0	0.015883481
-0.0018975241	0.0	0.25372478	0.0	-0.4715228	-0.008217435	0.0	0.0	-0.035567403	-0.015785184	-0.2358645	0.01661894	0.0	0.0	0.0	-0.03879366	-0.096417986	0.0	0.03679521	0.0	0.65594393	0.0	0.0	0.052143596	0.03809698	0.30118072	-0.2694435	0.0	0.0	0.0	-0.058822982	-0.00998171	0.35456958	0.0	0.03626194	0.03646919	0.0	0.3427656	-0.036510326	0.03762758	0.0	0.030468615	0.082232445	-0.10719724	-0.03286002	0.013156647	0.044491	-0.07396915	-0.05692861	0.03608846	0.029945223	0.17089477	0.0	0.04149406	0.0	0.06124276	0.0	-0.053600892	0.00066300575	0.11260177	0.0	-0.25867394	0.0	0.35320902	-0.09371827	-0.0057269046	0.0032498073	-0.0072822417	0.103811465	-0.017358532	0.08180368	0.0	0.0	-0.014556801	0.028327389	0.18657969	-0.04072027	0.003167945	0.19325626	0.04853962	0.0	-0.08588551	-0.019564733	0.0	0.0	0.0	0.0	0.0	-0.016796924	-0.0802924	0.036851995	0.0	-0.04918773	0.029360613	0.34529692	-0.06412536	-0.25871882	-0.45321995	0.06947563	-0.009191471	0.032008503	-0.022601426	-0.01569965	-0.16671121	0.0	0.061570514	-0.039488453	0.01710419	0.0	0.07599176	0.019072577	0.0	0.051583316	0.091478124	0.014930283	0.12167376	0.0	0.028832149	0.0	0.0	0.0	0.0	-0.082040116	0.0	0.0	0.06844755	0.0	0.0	0.0	0.0380591	0.0	0.0	0.0	0.031309765	0.0	0.5930773	0.0	-0.013407193	0.05074628	0.044145387	0.012566936	0.0	0.071362145	0.05889877	0.01952649	0.038549732	0.0	0.0	0.0	0.075870775	0.061930977	0.0	0.06470141	0.0	0.022703437	-0.008790886	-0.34523776	0.019056099	-0.004413674	0.007916154	0.0	-0.19220528	0.0064183017	0.0	-0.058240753	-0.006434626	0.016883355	-0.057725225	-0.19309352	0.0	0.0	-0.019333996	-0.02513761	0.007057992	0.0	-0.039725833	0.0	0.0	0.0	0.0	0.13831584	0.054183677	0.0	0.0	0.0	0.0	-0.0924339	-0.046970308	0.0	0.0	-0.37736318	0.0	-0.01791039	0.16068964	0.0533219	0.011646841	-0.023012206	0.1321088	0.19963598	0.0	0.065739214	-0.015206963	0.0	0.022124253	0.0	0.03268305	0.0	0.0	0.0	0.12191084	0.0	0.0	0.29643458	0.0	0.0	0.031934835
