HBA1C	FPG	PBG	FINS	HOMA.B	HOMA.IR	TG	TC	LDLC	HDLC	FFA	ALT	AST	TBIL	BUN	EGFR	SCR	UCR	UMA	UMACRR	CKMB	HSCRP	HB	PLT	HCT	RBC	WBC	BMI	WACC	WEIGHT	DBP	SBP	Age	Sex	Dose
-0.0	0.05041301493443996	-0.6766773264516175	0.0	1.8642722821706514	0.08880089516908977	-0.0	0.0	0.0	-0.10771861818589903	-0.0	-0.0	-0.0	-0.0	0.004231224760734829	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.1547624907104065	-0.0	0.0	0.0	0.0	-0.0	0.0	0.17704383914773233	-0.0	-0.07370644561827026
-0.0	0.10404388188597176	0.5884596659036049	0.0	0.2855193218618078	-0.010045325057661897	-0.0	-0.0	-0.0	0.008249554071980986	0.0	-0.0	-0.0	0.0	0.015629685423661534	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-1.0620271727585775	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.2796184852356422	-0.0	0.06803671903224946
-0.0	-0.3115953369884	-0.7792560015074466	0.0	0.22498623538365978	0.1898637089818653	0.0	0.0	-0.0	-0.0523701723355472	-0.0	0.0	0.0	-0.0	-0.010289107293948873	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.16752233907327055	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.15652890993015037	-0.0	0.06803671903224946
0.0	0.07722844841020586	0.4858809908477761	0.0	0.6686300402300871	0.013921593091221126	-0.0	-0.0	-0.0	0.008249554071980986	0.0	0.0	0.0	0.0	0.010692772525069075	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.010063179378959888	0.0	0.0	0.0	0.0	0.0	0.0	-0.49994882503247245	-0.0	0.06803671903224946
0.0	0.023597581458673977	-0.16378395117247319	0.0	-0.0017852709151167992	-0.0020794418578886347	-0.0	0.0	0.0	0.037241597136451025	0.0	-0.0	-0.0	0.0	0.005247648004562692	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0820182005592339	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.028105453028087292	-0.0	0.06803671903224946
-0.0	-0.06578719679387908	-0.16378395117247319	0.0	0.10949547828719301	0.03518703780713757	0.0	0.0	0.0	-0.0945404167929581	0.0	0.0	0.0	-0.0	0.0024161832538993656	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.02979490365142948	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.13068009911599712	0.0	-0.07370644561827026
-0.0	-0.016625568754974833	-0.33474840959885455	-0.0	-0.3398375264162032	-0.01891169940175735	-0.0	-0.0	-0.0	-0.21577986960801449	-0.0	-0.0	-0.0	-0.0	-0.0028111362857867646	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.44416111337330033	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.15652890993015037	-0.0	0.06803671903224946
0.0	-0.0032178520170919223	-0.5570022055531505	-0.0	-0.42369633230792336	-0.026808314051967368	-0.0	0.0	0.0	-0.20260166821507355	-0.0	-0.0	-0.0	-0.0	-0.0012138997597715595	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.5691287004322767	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.13068009911599712	0.0	0.06803671903224946
0.0	-0.13282578048329385	-1.052799134989657	-0.0	-0.36589406176112027	-0.006720434678626099	-0.0	-0.0	-0.0	0.037241597136451025	-0.0	-0.0	-0.0	-0.0	0.003142199856633555	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.22014027046652399	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0334393346246586	-0.0	-0.07370644561827026
-0.0	0.059351492759695236	-0.06120527611664467	-0.0	-0.12046197993148607	-0.016279494518354014	-0.0	0.0	0.0	-0.10771861818589903	0.0	-0.0	-0.0	0.0	0.0057558596264766166	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.18764869783118973	-0.0	0.0	0.0	-0.0	0.0	0.0	0.36167820210597	0.0	0.06803671903224946
-0.0	0.07275920949757818	1.3577997288223214	-0.0	-0.1631309788587521	-0.020435607492148757	-0.0	-0.0	-0.0	-0.16306706403625085	0.0	-0.0	-0.0	-0.0	0.006554477889484224	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.2464492361631507	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.11016516989841516	-0.0	-0.07370644561827026
0.0	-0.09707186918227262	0.17814496568028937	0.0	-0.204548353817485	0.00851864622528796	0.0	0.0	-0.0	0.11894644577268465	0.0	-0.0	-0.0	-0.0	-0.00535219439535641	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.5621568245226706	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.37685924972698065	-0.0	0.06803671903224946
-0.0	-0.1372950193959215	-1.428920943527696	-0.0	-0.3325553505992831	-0.001109682164003197	-0.0	0.0	0.0	-0.078726575121429	0.0	-0.0	-0.0	-0.0	-0.017331468340470467	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.8453728402468569	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.07446919305982251	0.0	0.06803671903224946
-0.0	0.10851312079859937	1.1526423787106637	-0.0	0.2910947377216373	-0.011084353301110586	-0.0	-0.0	-0.0	0.04251287769362739	-0.0	-0.0	-0.0	-0.0	-0.010289107293948873	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.1346361319524873	0.0	-0.0	-0.0	0.0	0.0	0.0	0.09498412227740449	-0.0	0.06803671903224946
0.0	0.023597581458673977	-0.129591059487197	-0.0	-0.2508584406532111	-0.01780340260874542	0.0	-0.0	-0.0	0.06359799992233284	-0.0	-0.0	-0.0	0.0	0.0026339882347196234	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.055709234862607176	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.007590523810505331	-0.0	-0.07370644561827026
0.0	-0.11941806374541089	-0.09539816780192083	-0.0	-0.25905088844724616	0.006163515540137604	0.0	0.0	0.0	0.06359799992233284	0.0	-0.0	-0.0	-0.0	0.01301602565381847	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.2271121463761301	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.13068009911599712	-0.0	0.06803671903224946
0.0	-0.016625568754974833	0.04137339893918443	-0.0	-0.15630393903038953	-0.004018961245659517	0.0	0.0	0.0	-0.0181068487139008	0.0	0.0	0.0	-0.0	0.010402365883975402	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.18107145640703318	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.04862038224566925	0.0	0.06803671903224946
-0.0	0.08616692623546113	1.6313428623045316	-0.0	-0.3290280466879625	-0.028886370538864732	-0.0	0.0	0.0	-0.16306706403625085	-0.0	-0.0	0.0	0.0	-0.003537152888520947	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.12148164910417367	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.09498412227740449	-0.0	-0.07370644561827026
0.0	-0.03897176331811309	0.04137339893918443	-0.0	-0.39889142093153934	-0.02168244138428718	-0.0	0.0	0.0	0.037241597136451025	-0.0	0.0	-0.0	0.0	-0.01420959694871347	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.14121337337664383	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.15119502833357906	-0.0	0.06803671903224946
-0.0	-0.08813339135701734	0.09266273646709867	-0.0	-0.32311127883671487	-0.007620925822948299	-0.0	0.0	0.0	-0.0181068487139008	-0.0	-0.0	-0.0	-0.0	0.004231224760734829	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.056103869348056196	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.2742846036390708	0.0	-0.07370644561827026
-0.0	-0.05237948005599609	-0.2492661803856639	-0.0	-0.22161595338839143	-0.002702858803957846	-0.0	0.0	0.0	-0.07345529456425262	0.0	-0.0	-0.0	-0.0	0.001327158349798092	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0626811107722133	0.0	0.0	0.0	0.0	0.0	0.0	0.13601398071256843	-0.0	-0.07370644561827026
0.0	-0.0032178520170919223	-0.48861642218259826	-0.0	-0.20773430573738755	-0.010599473454167865	-0.0	-0.0	-0.0	-0.031285050106841725	-0.0	-0.0	-0.0	0.0	-0.005134389414536159	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.2008031806795034	-0.0	0.0	0.0	0.0	0.0	0.0	0.17704383914773233	-0.0	0.06803671903224946
0.0	-0.025564046580230187	-0.33474840959885455	0.0	-0.09508814856940523	0.0031156993593547955	-0.0	0.0	0.0	0.016156474907745542	0.0	-0.0	0.0	-0.0	0.007062689511398155	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.4244293891008301	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.36167820210597	0.0	0.06803671903224946
0.0	-0.016625568754974833	-0.09539816780192083	0.0	0.40897495875803097	0.04197535566433565	-0.0	-0.0	0.0	0.07150492075809739	0.0	-0.0	-0.0	-0.0	0.005247648004562692	-0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.18107145640703318	0.0	0.0	0.0	0.0	0.0	-0.0	0.11549905149498646	-0.0	-0.07370644561827026
-0.0	0.18895942122589718	0.862002799385815	0.0	1.9033001931894573	-0.01143069604892681	-0.0	0.0	0.0	-0.004928647320959878	-0.0	0.0	0.0	-0.0	0.009894154262061474	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.18764869783118973	0.0	0.0	0.0	0.0	-0.0	-0.0	0.05395426384224056	-0.0	0.06803671903224946
-0.0	0.09063616514808881	-0.009915938588730125	0.0	1.3067306961877083	0.03206995307679151	-0.0	-0.0	-0.0	0.029334676300686466	-0.0	0.0	0.0	0.0	0.0026339882347196234	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.24026662922444317	-0.0	0.0	0.0	0.0	-0.0	0.0	0.34116327288838805	0.0	-0.07370644561827026
-0.0	0.09957464297334412	0.622652557588881	0.0	0.8239451963253355	0.00983474866698963	-0.0	-0.0	-0.0	0.016156474907745542	0.0	0.0	0.0	0.0	0.007861307774405754	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0034859379548027704	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.012924405407076633	0.0	0.06803671903224946
-0.0	0.07722844841020586	0.0071805072539079555	-0.0	0.030415600275326613	-0.012954604139318218	-0.0	0.0	0.0	-0.012835568156724432	-0.0	0.0	0.0	-0.0	0.0016175649908917664	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.18107145640703318	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.05395426384224056	0.0	-0.07370644561827026
0.0	0.023597581458673977	0.2636271948934801	-0.0	-0.018966654483162572	-0.0031877386509005677	-0.0	-0.0	0.0	0.021427755464921913	-0.0	-0.0	-0.0	-0.0	-0.003319347907700696	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.08859544198339042	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.1975587683653143	-0.0	0.06803671903224946
0.0	0.054882253847067596	0.9474850285990059	0.0	1.1111360051051207	0.046616348485073116	0.0	0.0	0.0	0.08995440270821466	-0.0	-0.0	-0.0	-0.0	0.014322855538740001	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.07544095913507677	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.08965024068083319	-0.0	-0.07370644561827026
-0.0	0.12192083753648236	-0.009915938588730125	0.0	0.6769362720212616	-0.003949692696096273	0.0	-0.0	-0.0	0.05569107908656828	0.0	-0.0	-0.0	0.0	0.010402365883975402	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.14121337337664383	0.0	0.0	0.0	0.0	-0.0	0.0	0.382193131323552	-0.0	0.06803671903224946
-0.0	0.06828997058495054	0.5542667742183287	0.0	0.7691013097041561	0.022510893237063595	0.0	-0.0	-0.0	0.037241597136451025	0.0	0.0	0.0	0.0	2.032846487655449e-05	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.055709234862607176	0.0	0.0	0.0	0.0	-0.0	0.0	-0.21273981598632494	-0.0	-0.07370644561827026
-0.0	-0.08813339135701734	-0.129591059487197	-0.0	-0.305588543277251	-0.005542869336050922	-0.0	0.0	0.0	-0.22895807100095542	-0.0	0.0	0.0	-0.0	0.012725619012724797	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.3849659405558898	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.13601398071256843	0.0	0.06803671903224946
-0.0	-0.0032178520170919223	0.7936170160152625	-0.0	-0.34655078224742636	-0.020989755888654725	-0.0	-0.0	-0.0	0.06359799992233284	-0.0	0.0	0.0	0.0	-0.005642601036450084	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.3385306161013439	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.33582939129181677	-0.0	-0.07370644561827026
-0.0	0.09957464297334412	0.43459165331986155	-0.0	-0.03580668605979028	-0.01988145909564279	-0.0	0.0	0.0	-0.004928647320959878	0.0	-0.0	-0.0	-0.0	0.007861307774405754	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.19422593925534626	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.30013341445322417	-0.0	0.06803671903224946
0.0	-0.1372950193959215	-0.33474840959885455	-0.0	-0.25586493652734366	0.010319628513932352	-0.0	0.0	0.0	-0.078726575121429	-0.0	0.0	-0.0	-0.0	-0.020671144713047724	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.5687340659468272	0.0	0.0	0.0	0.0	0.0	-0.0	-0.2947995328566528	-0.0	-0.07370644561827026
-0.0	-0.061317957881251356	-0.45442353049732204	0.0	0.16024314101135476	0.038789002384426355	0.0	0.0	-0.0	-0.004928647320959878	0.0	-0.0	-0.0	-0.0	-0.007965854165199479	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.01664042080311642	0.0	0.0	-0.0	0.0	-0.0	0.0	0.012924405407076633	0.0	0.06803671903224946
